location,lat,lon,dist_to_school_km,dist_to_hospital_km,dist_to_transit_km
GB Palya,13.0226152,77.7057327,2.784675521057892,0.42967547985082527,0.07647402226403242
GKW Layout,13.0082322,77.5130081,1.0894703846071223,0.5251973744810181,0.4865401337464747
GM Palaya,12.974779,77.6654084,0.7406277178645391,0.08167535774105249,0.12855035585532493
Gandhi Bazar,12.9457868,77.5706743,0.29457850215518483,0.03843551515266072,0.004886418848506265
Gandhi Nagar,12.9771534,77.5800313,1.133804816099534,0.6867707708644267,0.3518723289968088
Ganesha Block,13.0253417,77.6019556,0.2978732989891145,0.17422607756345118,0.16818793417266498
Ganga Nagar,13.0232471,77.5883569,0.888328840491725,0.22250988754261483,0.2863167340778583
Garden Layout,12.9559043,77.7148447,0.6680479531531998,0.22825099472222393,0.14934557816675564
Garudachar Palya,12.9899098,77.7011259,1.7390696687685039,0.3322321050967139,0.44192027233077036
Gattahalli,12.8685628,77.7026913,2.5061358666131373,,0.8272711796475193
Gattigere,12.9202077,77.5255006,0.4625934746877619,0.5251224864676316,0.2692870887622838
Gayathri Nagar,13.0007574,77.5605988,0.6709707679439141,0.1525923399468557,0.014831217197289583
Geddalahalli,13.0367681,77.5675668,1.2513367546760257,0.1988691706799562,0.12960365983844227
Geetanjali Layout,12.9767102,77.6547468,0.21054154577933765,0.41571397395137405,1.4500500894222448
Geleyara Balaga Layout,13.0712823,77.5061497,1.3196191264965649,0.6169430439591516,0.020089470352115623
Gkvk Layout,13.0827075,77.6034629,2.6484314965513396,1.1309081492275763,0.4184102426639576
Glass Factory Layout,12.8762737,77.5668962,0.3723100887375169,0.8707429624456907,1.4666325021061086
Gnana Bharathi,12.9551213,77.5174955,0.3491650743275371,0.07121572609627673,0.2504706932869298
Gokula Extension,13.0058913,77.5791562,0.13699223937234403,0.157053355907313,0.06667088911505235
Gollahalli,12.821532,77.5852714,1.5174613700309876,0.9876849455100779,0.27537041770762016
Gopal Reddy Layout,12.9690025,77.6934988,0.7013878974814703,0.013454328917549782,0.14065464594725832
Gopalapura,12.9806131,77.5581149,0.17624801316016753,0.2662074903966074,0.5972415611463467
Goraguntepalya,13.0269315,77.54409,1.3265122618996006,0.47972617474403756,0.026816678191067863
Gottigere,12.8565317,77.5877237,0.20865201601976496,0.23137565644237998,0.12722645088384826
Govindapura,13.0314519,77.617598,0.362209999404624,0.41455314115102265,0.3429864102947944
Govindaraja Nagar Ward,12.9755632,77.5367385,0.4601225816958452,0.06252118571209554,0.48588372369210253
Gowdanapalya,12.9082156,77.5577974,0.3741948111251568,0.4213737068450008,0.2735021639688012
Green Domain Layout,12.9728468,77.7148942,0.6587429006230421,0.6612301029888498,0.3574640528802505
Green Garden Layout,12.8727237,77.6451233,0.6433027210657665,0.10915793865073221,0.5515524902558565
Green Glen Layout,12.9269039,77.6701877,0.7614436734548857,0.03251493233219655,0.41845656471500847
Green View Layout,13.0052377,77.6492182,0.1056793183169299,0.5798244880367653,0.18044358767025542
Green Woods Layout,13.0584954,77.6263659,0.7550189597067388,0.72681928578763,0.11053916189520652
Gubbalala,12.8856635,77.5416809,0.339025457075945,0.6321005737064433,0.01293282220058905
"Gubbi Cross, Hennur Main Road",13.0843481,77.6541567,2.3481819311561534,2.0921823158510318,
Guddadahalli,12.9578934,77.5464445,0.358773626994476,0.19406672681487525,0.1960561436199341
Gulakamale,12.8037601,77.5284309,,1.89987744987398,0.6592869318784739
Gulimangala,12.8492767,77.7001531,1.3387301758388974,1.6706637280658971,0.6092649464473953
Guni Agrahara,13.0980951,77.525062,,1.6687914201563478,0.037807588339558225
Gunjur,12.9209772,77.7361016,2.539901700176744,0.1502491067810663,0.043267834308252366
Gunjur Palya,12.9228378,77.7188315,2.6036333527841244,1.469963722247293,1.0265825048279358
HAL 2nd Stage,12.9689409,77.6437106,0.501957234730257,0.14497776487173195,0.2745560250607598
HAL 3rd Stage,12.9715338,77.6497819,0.29905029683768003,0.12175128784132616,0.1616461894023215
HAL Layout,12.9599648,77.6503055,0.3563824854906349,0.2959670644017932,0.03615068507024981
HBR Layout,13.031992,77.6280789,0.7555657686489766,0.27171837573043395,0.30474023801632494
HMT Layout,13.0276524,77.5921251,0.7454977598018973,0.19028434387507445,0.2211784653047096
HOSUR MAIN ROAD,12.9419903,77.5973807,0.2565526226316076,0.20265086483961361,0.10577485201535007
HRBR Layout,13.0141515,77.6340564,0.8989051941717641,0.08746598223595418,0.2027553389563591
HSR Layout,12.9116225,77.6388622,0.3759611716599876,0.30752783706743225,0.1294634386203708
"HSR Layout 7th sector,",12.9193616,77.6511843,0.09776906684229326,0.1264286808642424,0.06329199054188582
Hadosiddapura,12.8964727,77.7014674,1.6269415074126796,1.1572598143217263,0.8169542926518393
Hagadur,12.9649204,77.7558746,0.36430125190492063,0.7117613875110312,0.05961264196230811
Hal old airport road,12.9605468,77.6418995,0.2225608661016408,0.1925162206913442,0.03661451886042012
Halanayakanahalli,12.8966653,77.6855489,2.0862299870355527,1.1418329409810235,0.3100591272727716
Handenahalli,12.8259815,77.7673455,2.390949713029268,,2.035815432584753
Hanumagiri,12.9180648,77.5363702,0.830039364368823,0.45198318076393385,0.6252554189396838
Hanuman Nagar,12.9700949,77.6561147,0.41724336230250597,0.281582293361772,0.26170104159787727
Hanumanth Nagar,12.9473478,77.5634776,0.37248366468611194,0.18063069625987388,0.0892939967412397
Hanumantha Nagar,12.940641,77.5635429,0.4559016207664249,0.09939516787820496,0.13971300522970653
Haralur Road,12.9018012,77.6641767,1.3909299035710845,0.8326963261355745,1.3074632901104353
"Haralur Road,",12.9018012,77.6641767,1.3909299035710845,0.8326963261355745,1.3074632901104353
Harappanahalli,12.7764978,77.6326204,,0.4225690249010627,1.1974502221048098
Harlur,12.9058923,77.675465,2.1541483626810844,0.15020207679488604,0.12328121493008301
Harohalli,13.1305028,77.5804603,2.858525029691643,2.851337410703878,0.03421644413344529
Harsha Layout,12.9629824,77.3896189,,,0.3640676703763642
Hebbal,13.0382184,77.5919,0.7863823345646925,0.12368769125108145,0.3075766141575576
Hebbal Kempapura,13.050194,77.6075951,0.41436750438095626,0.42095034222520916,0.2082493790267141
Hegde Nagar,13.0720352,77.6333905,1.382944725422289,0.21774056171299722,0.03558517451031197
Hegganahalli,13.0034737,77.5107376,0.7049846946045976,0.6671817796730509,0.12772416850994311
Hennagara,12.7906876,77.6741161,,2.8798222282970323,2.992521913132861
Hennur,13.037077,77.6413572,0.31707083939674924,0.044926820860815814,0.055319774523534954
Hennur Bande,13.0367255,77.6405042,0.2655773488150593,0.06965084535947448,
Hennur Gardens,13.0376905,77.6432902,0.4958858992258092,0.2595101349615316,0.17083773498617236
Hennur Road,13.0351224,77.631944,0.27655319534366113,0.2961596190679827,0.3357653297815484
Herohalli,12.9912345,77.4870119,0.9421742315384448,0.9492104024478928,0.0975577404593457
Hessarghatta,13.0484259,77.5076232,2.493187332613776,0.31583686820511714,0.2865058747874628
High grounds,12.9865133,77.5830766,0.2906318770133044,0.2687852123848529,0.31906296870564854
Himagiri Meadows,12.8963003,77.5894113,0.09197195206622073,0.5396536648685539,0.3989533862685349
Hiremath Layout,12.9754354,77.5358965,0.36887696487050503,0.0,0.0923355824027472
