location,lat,lon
Kamdhenu Nagar,12.9960265,77.6864573
Kammagondahalli,,
Kammanahalli,13.0148544,77.6382029
Kammasandra,13.079198,77.7136366
Kanaka Nagar,13.0374105,77.6082063
Kanakadasa Layout,12.9823009,77.5896603
Kanakapur main road,,
Kanakapura,12.9189383,77.5739265
Kanakapura  Rod,,
Kanakapura Main Road,12.9421348,77.5768444
Kanakapura Road,12.8622076,77.5303418
"Kanakapura Road,",12.8622076,77.5303418
Kanakapura main  Road,12.9421348,77.5768444
Kanakpura Road,12.8856913,77.5526564
Kannamangala,13.0154819,77.7631515
Kannur,13.1014045,77.6356543
Kariyammana Agrahara,12.9371495,77.6873031
Karnataka Shabarimala,,
Karuna Nagar,12.921008,77.5878683
Kasavanhalli,12.9047595,77.6759172
Kashi Nagar,13.0084602,77.6609259
Kasthuri Nagar East Of NGEF,,
Kasturi Nagar,13.0015277,77.6512362
Kathreguppe,,
Kathriguppe,12.929217,77.549692
Kathriguppe IV Phase,,
Kattigenahalli,13.1177735,77.6261222
Kaval Byrasandra,13.0200235,77.6092887
Kaverappa Layout,12.9367886,77.6980587
Kaveri Nagar,13.0326126,77.6096168
Kavika Layout,,
Keerthi Layout,12.7963302,77.7101094
Kempapura,13.0478903,77.6096313
Kempegowda Nagar,13.0025745,77.5256814
Kenchanehalli R R Nagar,,
Kenchenahalli,12.9267912,77.5132978
Kenchenhalli,,
Kengeri,12.9176571,77.4837568
Kengeri Hobli,,
Kengeri Satellite Town,12.9229728,77.4842926
Kengeri Satellite Town ( BDA SITE),,
Kengeri Satellite Town KHB Apartment,,
Kengeri Satellite Town Stage II,,
Kereguddadahalli,13.0794507,77.5155027
Keshava Nagar,12.9598176,77.5335655
Kirloskar Layout,13.0669639,77.5009307
"Kirloskar layout, Basaveshwarnagar",,
Kithaganur,,
Kodanda Reddy Layout,,
Kodathi,12.8905129,77.7133427
Kodbisanhalli,,
Kodichikkanahalli,12.8966996,77.6124269
Kodigehaali,,
Kodigehalli,13.0031666,77.7272835
Kodihalli,12.9635497,77.6460411
Kodipalya,12.9004224,77.4871294
Kogilu,13.1067228,77.6173956
Konanakunte,12.8792861,77.5697529
Konanakunte Cross,12.890447,77.5640809
Konappana Agrahara,12.8528618,77.668169
Konena Agrahara,12.9528903,77.6511294
Koppa,12.8548787,77.6096546
Koramangala,12.9357366,77.624081
Koramangala Industrial Layout,12.9332863,77.6147149
Kothannur,,
Kothanur,12.8701259,77.5820178
Kothnoor Dinne,,
Kothnur Narayanapura,,
Krishna Nagar,12.8775024,77.5845488
Krishna Reddy Layout,12.924189,77.6737223
Kudlu,12.8889126,77.6555716
Kudlu Gate,12.8899174,77.6396808
"Kudlu Village,",,
Kullappa Colony,,
Kumara Park,12.9922298,77.5783472
Kumarapalli,,
Kumaraswami Layout,,
Kumbalgodu,,
Kumbena Agrahara,13.0017965,77.7473882
Kumbhena Agrahara,,
Kundalahalli,12.977594,77.7155586
Kundalahalli Colony,12.9706554,77.7115645
Kurubarahalli,13.0012139,77.5362964
Kuvempu Layout,12.9133887,77.6043111
Kuvempu Nagar,12.9144469,77.6137532
Kyalasanahalli,13.0564575,77.6591321
LB Shastri Nagar,12.9660384,77.6708961
LIC Colony,12.9091489,77.5853379
Laggere,13.0108677,77.5207301
Lake City,12.8997376,77.6173368
Lakkasandra,12.9381829,77.6002563
Lakkasandra Extension,,
Lakshmi Layout,12.8913057,77.5878632
Lakshmiamma Garden,,
Lakshminarayana Pura,,
"Lakshminarayanapura, Electronic City Phase 2",,
Lakshmipura,13.0875111,77.5314071
Lakshmipura Vidyaanyapura,,
Lal Bahadur Shastri Nagar,12.9678103,77.6715478
Lalbagh Road,12.9549004,77.5855742
Langford Gardens,12.9631709,77.598018
Langford Town,12.957998,77.6037312
Lavakusha Nagar,,
Lavelle Road,12.9722287,77.5986661
Laxmi Sagar Layout,,
Laxminarayana Layout,,
Lingadheeranahalli,,
Lingarajapuram,13.0093949,77.6267881
Lottegolla Halli,,
M C Layout,12.9730957,77.5353937
M.G Road,12.9726546,77.6183454
MCECHS  layout,13.0725802,77.6152451
"MEI layout, Bagalgunte",,
MLA Layout,13.0179119,77.5906795
MRCR Layout,,
MS Pallya,,
Madanayakahalli,,
Madavara,13.0574214,77.4728055
Madiwala,12.9218931,77.6177348
Magadi Road,12.975608,77.5553564
Mahadevpura,12.9968412,77.6928386
Mahaganapathy Nagar,,
Mahalakshmi Layout,13.0113153,77.5446972
Mahalakshmi Puram,,
Maheswari Nagar,,
Mailasandra,12.915939,77.4932278
